WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
1036,0.113,0.612,0.086,0.925,0.130,0.000,0.000,0.000,0.000,0.020,0.002,0.879,0.108
1037,0.107,0.611,0.082,0.924,0.123,0.000,0.000,0.000,0.000,0.020,0.002,0.879,0.103
1038,0.101,0.610,0.077,0.923,0.117,0.000,0.000,0.000,0.000,0.020,0.002,0.879,0.097
1039,0.095,0.609,0.073,0.923,0.110,0.000,0.000,0.000,0.000,0.021,0.002,0.880,0.092
1040,0.090,0.608,0.068,0.922,0.104,0.000,0.000,0.000,0.000,0.022,0.002,0.880,0.086
1041,0.084,0.607,0.064,0.921,0.097,0.000,0.000,0.000,0.000,0.023,0.002,0.880,0.081
1042,0.079,0.606,0.060,0.921,0.091,0.000,0.000,0.000,0.000,0.024,0.002,0.880,0.076
1043,0.073,0.605,0.056,0.920,0.085,0.000,0.000,0.000,0.000,0.026,0.002,0.881,0.071
1044,0.068,0.604,0.052,0.919,0.079,0.000,0.000,0.000,0.000,0.028,0.002,0.881,0.066
1045,0.063,0.603,0.048,0.919,0.073,0.000,0.000,0.000,0.000,0.031,0.002,0.881,0.062
1046,0.059,0.602,0.045,0.918,0.068,0.000,0.000,0.000,0.000,0.033,0.002,0.881,0.057
1047,0.054,0.602,0.041,0.917,0.063,0.000,0.000,0.000,0.000,0.036,0.002,0.881,0.053
1048,0.050,0.601,0.038,0.917,0.058,0.000,0.000,0.000,0.000,0.039,0.002,0.881,0.048
1049,0.045,0.600,0.034,0.916,0.053,0.000,0.000,0.000,0.000,0.043,0.002,0.881,0.044
1050,0.041,0.599,0.031,0.915,0.048,0.000,0.000,0.000,0.000,0.046,0.002,0.881,0.040
1051,0.038,0.598,0.029,0.915,0.045,0.000,0.000,0.000,0.000,0.049,0.002,0.881,0.038
1052,0.036,0.597,0.027,0.914,0.041,0.000,0.000,0.000,0.000,0.053,0.002,0.881,0.035
1053,0.033,0.596,0.025,0.913,0.038,0.000,0.000,0.000,0.000,0.057,0.002,0.881,0.032
1054,0.030,0.595,0.023,0.912,0.035,0.000,0.000,0.000,0.000,0.060,0.002,0.880,0.030
1055,0.028,0.594,0.021,0.912,0.032,0.000,0.000,0.000,0.000,0.064,0.002,0.880,0.027
1056,0.026,0.593,0.019,0.911,0.030,0.000,0.000,0.000,0.000,0.068,0.002,0.880,0.025
1057,0.023,0.592,0.018,0.910,0.027,0.000,0.000,0.000,0.000,0.071,0.002,0.880,0.023
1058,0.021,0.591,0.016,0.910,0.025,0.000,0.000,0.000,0.000,0.075,0.002,0.879,0.021
1059,0.019,0.590,0.015,0.909,0.023,0.000,0.000,0.000,0.000,0.078,0.002,0.879,0.019
1060,0.018,0.589,0.013,0.908,0.021,0.000,0.000,0.000,0.000,0.082,0.002,0.879,0.017
1061,0.016,0.588,0.012,0.908,0.019,0.000,0.000,0.000,0.000,0.085,0.002,0.878,0.016
1062,0.014,0.587,0.011,0.907,0.017,0.000,0.000,0.000,0.000,0.088,0.001,0.878,0.014
1063,0.013,0.586,0.010,0.906,0.015,0.000,0.000,0.000,0.000,0.091,0.001,0.878,0.013
1064,0.012,0.585,0.009,0.905,0.014,0.000,0.000,0.000,0.000,0.094,0.001,0.877,0.011
1065,0.010,0.584,0.008,0.905,0.012,0.000,0.000,0.000,0.000,0.097,0.001,0.877,0.010
1066,0.009,0.583,0.007,0.904,0.011,0.000,0.000,0.000,0.000,0.099,0.001,0.876,0.009
1067,0.008,0.582,0.006,0.903,0.010,0.000,0.000,0.000,0.000,0.101,0.001,0.875,0.008
1068,0.007,0.581,0.005,0.903,0.008,0.000,0.000,0.000,0.000,0.103,0.001,0.875,0.007
1069,0.006,0.581,0.005,0.902,0.007,0.000,0.000,0.000,0.000,0.105,0.001,0.874,0.006
1070,0.006,0.580,0.004,0.901,0.006,0.000,0.000,0.000,0.000,0.107,0.001,0.873,0.005
1071,0.005,0.579,0.004,0.900,0.006,0.000,0.000,0.000,0.000,0.108,0.001,0.873,0.005
1072,0.004,0.578,0.003,0.900,0.005,0.000,0.000,0.000,0.000,0.109,0.001,0.872,0.004
1073,0.004,0.577,0.003,0.899,0.004,0.000,0.000,0.000,0.000,0.109,0.000,0.871,0.004
1074,0.003,0.576,0.002,0.898,0.004,0.000,0.000,0.000,0.000,0.110,0.000,0.870,0.003
1075,0.003,0.575,0.002,0.898,0.003,0.000,0.000,0.000,0.000,0.110,0.000,0.870,0.003
1076,0.002,0.574,0.002,0.897,0.003,0.000,0.000,0.000,0.000,0.110,0.000,0.869,0.002
1077,0.002,0.573,0.002,0.896,0.002,0.000,0.000,0.000,0.000,0.109,0.000,0.868,0.002
1078,0.002,0.572,0.001,0.895,0.002,0.000,0.000,0.000,0.000,0.108,0.000,0.867,0.002
1079,0.002,0.571,0.001,0.895,0.002,0.000,0.000,0.000,0.000,0.107,0.000,0.866,0.002
1080,0.001,0.570,0.001,0.894,0.002,0.000,0.000,0.000,0.000,0.106,0.000,0.865,0.001
1081,0.001,0.569,0.001,0.893,0.002,0.000,0.000,0.000,0.000,0.104,0.000,0.864,0.001
1082,0.001,0.569,0.001,0.892,0.001,0.000,0.000,0.000,0.000,0.102,0.000,0.863,0.001
1083,0.001,0.568,0.001,0.892,0.001,0.000,0.000,0.000,0.000,0.100,0.000,0.862,0.001
1084,0.001,0.567,0.001,0.891,0.001,0.000,0.000,0.000,0.000,0.098,0.000,0.861,0.001
1085,0.001,0.566,0.001,0.890,0.001,0.000,0.000,0.000,0.000,0.095,0.000,0.860,0.001
1086,0.001,0.565,0.001,0.889,0.001,0.000,0.000,0.000,0.000,0.093,0.000,0.859,0.001
1087,0.001,0.564,0.001,0.889,0.002,0.000,0.000,0.000,0.000,0.090,0.000,0.857,0.001
1088,0.001,0.563,0.001,0.888,0.002,0.000,0.000,0.000,0.000,0.087,0.000,0.856,0.001
1089,0.002,0.562,0.001,0.887,0.002,0.000,0.000,0.000,0.000,0.083,0.000,0.855,0.002
1090,0.002,0.561,0.001,0.886,0.002,0.000,0.000,0.000,0.000,0.080,0.000,0.852,0.002
1091,0.002,0.560,0.001,0.886,0.002,0.000,0.000,0.000,0.000,0.077,0.000,0.849,0.002
1092,0.002,0.559,0.001,0.885,0.002,0.000,0.000,0.000,0.000,0.073,0.000,0.846,0.002
1093,0.002,0.559,0.002,0.884,0.002,0.000,0.000,0.000,0.000,0.069,0.000,0.843,0.002
1094,0.002,0.558,0.002,0.883,0.003,0.000,0.000,0.000,0.000,0.066,0.000,0.839,0.002
1095,0.002,0.557,0.002,0.883,0.003,0.000,0.000,0.000,0.000,0.062,0.000,0.834,0.002
1096,0.002,0.556,0.002,0.882,0.003,0.000,0.000,0.000,0.000,0.058,0.000,0.829,0.002
1097,0.003,0.555,0.002,0.881,0.003,0.000,0.000,0.000,0.000,0.054,0.000,0.824,0.002
1098,0.003,0.554,0.002,0.880,0.003,0.000,0.000,0.000,0.000,0.050,0.000,0.818,0.002
1099,0.003,0.553,0.002,0.879,0.003,0.000,0.000,0.000,0.000,0.047,0.000,0.812,0.003
1100,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
