WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
622,0.376,0.979,0.362,0.512,0.189,0.857,0.277,0.624,0.202,0.484,0.157,0.456,0.147
623,0.378,0.979,0.363,0.516,0.191,0.855,0.277,0.627,0.203,0.483,0.157,0.459,0.149
624,0.379,0.979,0.364,0.520,0.193,0.853,0.278,0.631,0.205,0.481,0.157,0.461,0.150
625,0.381,0.980,0.365,0.524,0.195,0.851,0.278,0.635,0.207,0.480,0.157,0.464,0.151
626,0.382,0.980,0.366,0.528,0.197,0.849,0.278,0.639,0.209,0.479,0.157,0.467,0.153
627,0.384,0.980,0.367,0.531,0.199,0.846,0.277,0.643,0.211,0.477,0.156,0.469,0.154
628,0.385,0.980,0.368,0.535,0.201,0.840,0.276,0.647,0.213,0.476,0.156,0.472,0.155
629,0.387,0.981,0.369,0.539,0.203,0.833,0.275,0.651,0.214,0.474,0.156,0.475,0.156
630,0.388,0.981,0.370,0.543,0.205,0.825,0.273,0.655,0.216,0.473,0.156,0.477,0.158
631,0.389,0.981,0.371,0.546,0.207,0.815,0.270,0.658,0.218,0.472,0.156,0.480,0.159
632,0.391,0.981,0.372,0.550,0.209,0.804,0.267,0.662,0.220,0.470,0.156,0.482,0.160
633,0.392,0.981,0.373,0.554,0.211,0.791,0.263,0.666,0.222,0.469,0.156,0.485,0.161
634,0.393,0.981,0.374,0.557,0.213,0.777,0.259,0.670,0.224,0.468,0.156,0.487,0.162
635,0.394,0.982,0.375,0.561,0.214,0.762,0.255,0.674,0.225,0.466,0.156,0.489,0.164
636,0.396,0.982,0.376,0.565,0.216,0.746,0.250,0.678,0.227,0.465,0.156,0.492,0.165
637,0.397,0.982,0.377,0.568,0.218,0.730,0.245,0.682,0.229,0.464,0.156,0.494,0.166
638,0.398,0.982,0.378,0.572,0.220,0.712,0.240,0.686,0.231,0.463,0.156,0.496,0.167
639,0.400,0.982,0.379,0.576,0.222,0.694,0.234,0.689,0.233,0.462,0.156,0.498,0.168
640,0.401,0.982,0.380,0.579,0.224,0.675,0.228,0.693,0.235,0.461,0.156,0.500,0.169
641,0.402,0.982,0.380,0.583,0.226,0.657,0.223,0.697,0.236,0.460,0.156,0.502,0.170
642,0.404,0.982,0.381,0.586,0.228,0.638,0.217,0.701,0.238,0.458,0.156,0.504,0.171
